Terms	Example	Mapping	Notes
General.@ref	5523		
General.BacDive-ID	100	_id, identifier, url	convert to url for bacdive 
General.DSM-Number	14760	identifier, url	convert to DSM url for includedInDataCatalog.url
General.keywords[0]	genome sequence	keywords	
General.keywords[1]	16S sequence	keywords	
General.keywords[2]	Bacteria	keywords	
General.keywords[3]	anaerobe	keywords	
General.description	Phascolarctobacterium faecium QUM 3679 is an anaerobe bacterium that was isolated from koala faeces.	description	
General.NCBI tax id[0].NCBI tax id	33025	infectiousAgent.identifier	See heuristics
General.NCBI tax id[0].Matching level	species		
General.NCBI tax id[1].NCBI tax id	1122957	infectiousAgent.identifier	Format as an NCBI Taxon DefinedTerm Object
General.NCBI tax id[1].Matching level	strain		
General.strain history.@ref	5523		
General.strain history.history	<- R. Osawa, Kobe University, Graduate School of Science and Technology, Kobe, Japan; ACM 3679 <- ACM <- R. Osawa, Veterinary Service and Research, Brisbane, Australia {1992}		
General.doi	10.13145/bacdive100.20251217.10	doi	This is the sample doi
Name and taxonomic classification.LPSN.@ref	20215		
Name and taxonomic classification.LPSN.description	domain/bacteria		Ignore -- this should be pulled with taxonomy api if the NCBI Taxonomy ID is properly formatted and saved
Name and taxonomic classification.LPSN.keyword	phylum/bacillota		Ignore -- this should be pulled with taxonomy api if the NCBI Taxonomy ID is properly formatted and saved
Name and taxonomic classification.LPSN.domain	Bacteria		Ignore -- this should be pulled with taxonomy api if the NCBI Taxonomy ID is properly formatted and saved
Name and taxonomic classification.LPSN.phylum	Bacillota		Ignore -- this should be pulled with taxonomy api if the NCBI Taxonomy ID is properly formatted and saved
Name and taxonomic classification.LPSN.class	Negativicutes		Ignore -- this should be pulled with taxonomy api if the NCBI Taxonomy ID is properly formatted and saved
Name and taxonomic classification.LPSN.order	Acidaminococcales		Ignore -- this should be pulled with taxonomy api if the NCBI Taxonomy ID is properly formatted and saved
Name and taxonomic classification.LPSN.family	Acidaminococcaceae		Ignore -- this should be pulled with taxonomy api if the NCBI Taxonomy ID is properly formatted and saved
Name and taxonomic classification.LPSN.genus	Phascolarctobacterium		Ignore -- this should be pulled with taxonomy api if the NCBI Taxonomy ID is properly formatted and saved
Name and taxonomic classification.LPSN.species	Phascolarctobacterium faecium		Ignore -- this should be pulled with taxonomy api if the NCBI Taxonomy ID is properly formatted and saved
Name and taxonomic classification.LPSN.full scientific name	<I>Phascolarctobacterium</I> <I>faecium</I> Del Dot et al. 1994		Ignore -- this should be pulled with taxonomy api if the NCBI Taxonomy ID is properly formatted and saved
Name and taxonomic classification.LPSN.synonyms[0].@ref	20215		
Name and taxonomic classification.LPSN.synonyms[0].synonym	Sapromyces laidlawi		infectiousAgent.alternateName
Name and taxonomic classification.LPSN.synonyms[1].@ref	20215		
Name and taxonomic classification.LPSN.synonyms[1].synonym	Acholeplasma laidlawii		infectiousAgent.alternateName
Name and taxonomic classification.LPSN.synonyms[2].@ref	20215		
Name and taxonomic classification.LPSN.synonyms[2].synonym	Mycoplasma laidlawii		infectiousAgent.alternateName
Name and taxonomic classification.@ref	5523		
Name and taxonomic classification.domain	Bacteria		Ignore -- this should be pulled with taxonomy api if the NCBI Taxonomy ID is properly formatted and saved
Name and taxonomic classification.phylum	Firmicutes		Ignore -- this should be pulled with taxonomy api if the NCBI Taxonomy ID is properly formatted and saved
Name and taxonomic classification.class	Negativicutes		Ignore -- this should be pulled with taxonomy api if the NCBI Taxonomy ID is properly formatted and saved
Name and taxonomic classification.order	Selenomonadales		Ignore -- this should be pulled with taxonomy api if the NCBI Taxonomy ID is properly formatted and saved
Name and taxonomic classification.family	Acidaminococcaceae		Ignore -- this should be pulled with taxonomy api if the NCBI Taxonomy ID is properly formatted and saved
Name and taxonomic classification.genus	Phascolarctobacterium		Ignore -- this should be pulled with taxonomy api if the NCBI Taxonomy ID is properly formatted and saved
Name and taxonomic classification.species	Phascolarctobacterium faecium		Ignore -- this should be pulled with taxonomy api if the NCBI Taxonomy ID is properly formatted and saved
Name and taxonomic classification.full scientific name	Phascolarctobacterium faecium Del Dot et al. 1994		Ignore -- this should be pulled with taxonomy api if the NCBI Taxonomy ID is properly formatted and saved
