IEDB field	Example values	NDE field suggestion	Notes
CATALOG AND EXPORT METADATA			
database_export_v3.php / export_data_v3.php: export release date	2026-08-23	date; dateModified; includedInDataCatalog.versionDate	Retrieve once per crawl. Prefer the published export/archive date; fall back to the archive member timestamp. Route the value through date normalization.
database_export_v3.php: Complete Database Export URL	https://www.iedb.org/downloader.php?file_name=doc/iedb_export.zip	isBasedOn.url	Represent the XML export as a typed CreativeWork in isBasedOn. Do not emit distribution because it is not defined on the current NDE DataCollection profile.
database_export_v3.php: database catalog URL	https://www.iedb.org/	includedInDataCatalog.url; sourceOrganization.url; isBasedOn.url	Use the IEDB root for the DataCatalog, source organization, and ResourceCatalog provenance objects.
database_export_v3.php: database catalog name	Immune Epitope Database and Analysis Resource	includedInDataCatalog.name; sourceOrganization.name; isBasedOn.name	Use alternate name IEDB only where the current nested NDE mapping supports it.
database_export_v3.php: license metadata	https://creativecommons.org/licenses/by/4.0/	license	Assign the CC BY 4.0 URL shown in the export page metadata and license notice.
IEDB public export and Query API access	No account required	conditionsOfAccess; isAccessibleForFree	Assign conditionsOfAccess = Open and isAccessibleForFree = true.
			
ORGANISM IDENTITY AND TAB-BASED COLLECTION GROUPING			
OrganismList.Organism.OrganismId	227984	_id; identifier grouping component	This is the exact species/strain grouping key and the join target for source-organism identifiers. Combine it with the normalized tab key rather than using the organism ID alone.
OrganismList.Organism.TaxId	227984	species.identifier; species.url	When present, emit the numeric TaxId as species.identifier and generate an NCBI or UniProt taxonomy URL. Do not substitute TaxId for the top-level IEDB identifier.
OrganismList.Organism.ParentTaxId	2901879	Processing only	Use to determine whether a node is a species, strain, or descendant below species. Do not emit as the collection identifier.
OrganismList.Organism.OrganismName	SARS coronavirus Tor2	name; species.name; keywords; description	Generate name as "IEDB {tab label} from {OrganismName}". Use the source name in the species object so the terms stage can standardize and classify it.
References.Reference.Epitopes.Epitope.EpitopeStructure.**.SourceOrganismId	227984	Collection membership key	Join to OrganismList and group by the exact organism node. Use primary EpitopeStructure sources only; do not roll strain members into their parent species collection.
References.Reference.Epitopes.Epitope.EpitopeStructure.SplicedFragmentsOfANaturalSequenceMolecules.SecondarySourceOrganismId	227984	Collection membership key	Treat as a second natural-source membership candidate for a spliced epitope.
References.Reference.Epitopes.Epitope.EpitopeStructure.**.PeptideSourceOrganismId	227984	Collection membership key after ObjectType review	Use when it identifies the natural peptide source. Distinguish it from a recombinant expression host.
References.Reference.Epitopes.Epitope.EpitopeStructure.**.MoleculeSourceOrganismId	227984	Collection membership key after ObjectType review	Use when it identifies the natural molecule source. Distinguish it from a recombinant expression host.
References.Reference.Epitopes.Epitope.EpitopeStructure.**.CellSourceOrganismId	9606	Processing only pending review	Do not automatically use as collection membership; a cell source can describe an experimental system rather than the epitope source.
References.Reference.Epitopes.Epitope.EpitopeStructure.**.RecombinantOrganismId	Escherichia coli expression host	Processing only pending review	Do not use as collection membership unless domain review confirms it is the epitope source rather than the expression system.
Joined organism with TaxId	SARS coronavirus Tor2; 227984	species	Emit the joined source organism as species in the first pass. Do not also classify it as infectiousAgent until the relationship between epitope/source organisms and assay host organisms has been validated on representative records.
Joined IEDB-only strain without TaxId	Mus musculus C57BL/6; OrganismId 10000067	species	Emit the source name without treating the internal OrganismId as an NCBI TaxId. Keep the internal OrganismId only as the collection identifier.
			
IEDB TAB COLLECTION DEFINITIONS			
IEDB results tab: Epitopes	Epitopes (1923674 in the illustrated filtered search)	One DataCollection per exact organism node	Use tab key epitopes. Members are unique EpitopeId values selected through qualifying source-organism paths.
IEDB results tab: Antigens	Antigens (87936 in the illustrated filtered search)	One DataCollection per exact organism node	Use tab key antigens. Members are unique source-antigen IDs or IRIs linked to the qualifying epitope/assay result set.
IEDB results tab: Assays	Assays (5845358 in the illustrated filtered search)	One DataCollection per exact organism node	Use tab key assays. Union TCell, BCell, MhcBinding, and MhcLigandElution assay branches and keep their type-specific IDs distinct.
IEDB results tab: Receptors	Receptors (223303 in the illustrated filtered search)	One DataCollection per exact organism node	Use tab key receptors. Union TCR and BCR receptor groups linked to the qualifying result set and deduplicate by receptor-group IRI or type-prefixed ID.
IEDB results tab: References	References (26953 in the illustrated filtered search)	One DataCollection per exact organism node	Use tab key references. Members are unique ReferenceId values containing at least one qualifying result.
Derived tab and exact OrganismId	epitopes + 227984	_id	Generate iedb_{tab}_{OrganismId}; for example, iedb_epitopes_227984. This follows the UniProt pattern of separate collection kinds per taxon.
Derived tab and exact OrganismId	IEDB:EPITOPES:227984	identifier	Use a composite identifier so sibling tab collections do not share the same top-level identifier.
Query API epitope_search / antigen_search / reference_search	one view per tab	url; isBasedOn.url	Use the corresponding exact-organism filtered view for discovery and validation. Calculate authoritative membership and counts from the downloaded XML release.
Query API tcell_search + bcell_search + mhc_search	three views for the Assays tab	isBasedOn.url	Represent the Assays tab as one collection even though the Query API exposes multiple assay views. The XML additionally has distinct MhcBinding and MhcLigandElution branches.
Query API tcr_search + bcr_search	two views for the Receptors tab	isBasedOn.url	Represent the Receptors tab as one collection and list both supporting queries in provenance.
Query API *.source_organism_iri_search	cs.{NCBITaxon:227984}	Validation only	The _search filter follows taxonomy parentage and can include descendants. Do not use its count as the exact species/strain collection count.
Query API exact source-organism fields	source_organism_iris=cs.{NCBITaxon:227984}; source_organism_iri=eq.NCBITaxon:227984	url; validation	Prefer exact fields for public query links where supported. XML OrganismId membership remains authoritative, especially for IEDB-only strains.
			
REFERENCE AND CITATION FIELDS			
References.Reference object routing	Article or direct submission	References tab hasPart; other tabs citation or isBasedOn	In the References collection, route each unique source reference to hasPart and use one as exampleOfWork. In the other four tab collections, retain the same objects as supporting citations or provenance.
References.Reference.ReferenceId	1000425	hasPart.identifier; hasPart.url; citation.identifier; citation.url; collectionSize	Generate identifier IEDB_REFERENCE:{ReferenceId} and URL https://www.iedb.org/reference/{ReferenceId}. Use as the References-tab member key and as the deduplication fallback after PMID for citations elsewhere.
References.Reference.Keywords	SARS; coronavirus	keywords	Split and deduplicate only useful bounded terms. Do not blindly promote large article-indexing strings.
References.Reference.DateLastUpdated	2024-08-19-07:00	dateModified fallback; provenance	Use the maximum member-reference update only when an export release date is unavailable. Normalize to an ISO date.
References.Reference.Article.PubmedId	15037737	citation.pmid	Emit as a string. Deduplicate journal citations by PMID, then ReferenceId.
References.Reference.Article.Abstract	The CD8+ T cell response...	citation.abstract	Preserve as plain text.
References.Reference.Article.ArticleYear	2004	citation.datePublished	Retain valid reduced ISO precision if supported. Otherwise omit rather than inventing a month and day.
References.Reference.Article.ArticlePages	4942-7	citation.pagination	Preserve source formatting.
References.Reference.Article.ArticleTitle	Conserved T cell receptor usage in primary and recall responses...	citation.name	Create a typed ScholarlyArticle object.
