source_property,nde_property
Package,identifier
Version,softwareVersion
Depends,softwareRequirements
License,license
Title,name
Description,description
biocViews,keywords
Author,author
Maintainer,author
git_last_commit_date,dateModified
Date/Publication,datePublished
source.ver,downloadUrl
win.binary.ver,downloadUrl
mac.binary.ver,downloadUrl
vignettes,softwareHelp
Imports,isBasedOn
Enhances,softwareAddOn
dependsOnMe,"isBasisFor, isRelatedTo"
Suggests,isRelatedTo
suggestsMe,isRelatedTo
LinkingTo,isRelatedTo
URL,codeRepository
BugReports,discussionUrl
Archs,processorRequirements
