source_property,nde_property
term,name
uri,url
description,description
identifier,biotoolsID
homepage,"codeRepository, mainEntityOfPage"
version,softwareVersion
toolType,applicationCategory
license,license
language,programmingLanguage
accessibility,conditionsOfAccess
cost,conditionsOfAccess
lastUpdate,dateModified
additionDate,dateCreated
topic,applicationSubCategory
operation,featureList
input,input
output,output
link,"codeRepository, discussionUrl"
download,downloadUrl
documentation,softwareHelp
credit,author
publication,isBasisFor
