source_property,nde_property
hubmap_id,name
title,description
anatomy_0,keywords
anatomy_1,keywords
anatomy_2,keywords
display_subtype,keywords
contacts.affiliation,author.affiliation
contacts.first_name,author.givenName
contacts.last_name,author.familyName
contacts.middle_name_or_initial,author.givenName
contacts.name,author.name
contacts.orcid_id,author.identifier
contributors.affiliation,author.affiliation
contributors.first_name,author.givenName
contributors.last_name,author.familyName
contributors.middle_name_or_initial,author.givenName
contributors.name,author.name
contributors.orcid_id,author.identifier
created_timestamp,dateCreated
last_modified_timestamp,dateModified
published_timestamp,datePublished
data_access_level,isAccessibleForFree
data_types,measurementTechnique.name
dataset_info,measurementTechnique.description
doi_url,doi
uuid,url
file.description,distribution.name
file.mapped_description,distribution.description
file.rel_path,distribution.contentUrl
file.size,distribution.contentSize
file.type,distribution.encodingFormat
version,version
metadata.dag_provenance_list,isBasedOn.name
metadata.protocols_io_doi,isBasedOn.doi
