"","Package","Version","Depends","Suggests","License","MD5sum","NeedsCompilation","Title","Description","biocViews","Author","Maintainer","git_url","git_branch","git_last_commit","git_last_commit_date","Date.Publication","source.ver","win.binary.ver","mac.binary.ver","vignettes","vignetteTitles","hasREADME","hasNEWS","hasINSTALL","hasLICENSE","Rfiles","dependencyCount","Imports","Enhances","dependsOnMe","suggestsMe","VignetteBuilder","URL","SystemRequirements","BugReports","importsMe","Archs","LinkingTo","Video","linksToMe","PackageStatus","License_restricts_use","OS_type","organism","License_is_FOSS"
"1","a4","1.44.0","c(""a4Base"", ""a4Preproc"", ""a4Classif"", ""a4Core"", ""a4Reporting"")","c(""MLP"", ""nlcv"", ""ALL"", ""Cairo"", ""Rgraphviz"", ""GOstats"")","GPL-3","cc696d3373a9f258d293f2d966da11d5","no","Automated Affymetrix Array Analysis Umbrella Package","Umbrella package is available for the entire Automated
Affymetrix Array Analysis suite of package.","c(""Software"", ""Technology"", ""Microarray"")","c(""Willem Talloen"", ""Tobias Verbeke"", ""Laure Cougnaud"")","Laure Cougnaud <laure.cougnaud@openanalytics.eu>","https://git.bioconductor.org/packages/a4","RELEASE_3_15","5b0fc5a","2022-04-26","2022-04-26","src/contrib/a4_1.44.0.tar.gz","bin/windows/contrib/4.2/a4_1.44.0.zip","bin/macosx/contrib/4.2/a4_1.44.0.tgz","vignettes/a4/inst/doc/a4vignette.pdf","a4vignette","FALSE","TRUE","FALSE","FALSE","vignettes/a4/inst/doc/a4vignette.R","82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","a4Base","1.44.0","c(""a4Preproc"", ""a4Core"")","c(""Cairo"", ""ALL"", ""hgu95av2.db"", ""nlcv"")","GPL-3","094c0a1c87b18ff8f16a3dbe4d06da64","no","Automated Affymetrix Array Analysis Base Package","Base utility functions are available for the Automated
Affymetrix Array Analysis set of packages.","c(""Software"", ""Technology"", ""Microarray"")","c(""Willem Talloen"", ""Tine Casneuf"", ""An De Bondt"", ""Steven Osselaer"", ""Hinrich Goehlmann"", ""Willem Ligtenberg"", ""Tobias Verbeke"", ""Laure Cougnaud"")","Laure Cougnaud <laure.cougnaud@openanalytics.eu>","https://git.bioconductor.org/packages/a4Base","RELEASE_3_15","9ae69e0","2022-04-26","2022-04-26","src/contrib/a4Base_1.44.0.tar.gz","bin/windows/contrib/4.2/a4Base_1.44.0.zip","bin/macosx/contrib/4.2/a4Base_1.44.0.tgz",NA,NA,"FALSE","TRUE","FALSE","FALSE",NA,"73","c(""methods"", ""graphics"", ""grid"", ""Biobase"", ""annaffy"", ""mpm"", ""genefilter"", ""limma"", ""multtest"", ""glmnet"", ""gplots"")","c(""gridSVG"", ""JavaGD"")","a4","epimutacions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","a4Classif","1.44.0","c(""a4Core"", ""a4Preproc"")","c(""ALL"", ""hgu95av2.db"", ""knitr"", ""rmarkdown"")","GPL-3","1f6e6aab041fff5059d0449e3ed3da9e","no","Automated Affymetrix Array Analysis Classification Package","Functionalities for classification of Affymetrix
microarray data, integrating within the Automated Affymetrix
Array Analysis set of packages.","c(""Software"", ""Technology"", ""AssayDomain"", ""StatisticalMethod"", ""Microarray"", ""GeneExpression"", ""Classification"")","c(""Willem Talloen"", ""Tobias Verbeke"", ""Laure Cougnaud"")","Laure Cougnaud <laure.cougnaud@openanalytics.eu>","https://git.bioconductor.org/packages/a4Classif","RELEASE_3_15","df0fce7","2022-04-26","2022-04-26","src/contrib/a4Classif_1.44.0.tar.gz","bin/windows/contrib/4.2/a4Classif_1.44.0.zip","bin/macosx/contrib/4.2/a4Classif_1.44.0.tgz","vignettes/a4Classif/inst/doc/a4Classif-vignette.html","a4Classif package","FALSE","TRUE","FALSE","FALSE","vignettes/a4Classif/inst/doc/a4Classif-vignette.R","32","c(""methods"", ""Biobase"", ""ROCR"", ""pamr"", ""glmnet"", ""varSelRF"", ""utils"", ""graphics"", ""stats"")",NA,"a4",NA,"knitr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","a4Core","1.44.0",NA,"c(""knitr"", ""rmarkdown"")","GPL-3","9413ac5f3064767be54d0075bb0fd2b4","no","Automated Affymetrix Array Analysis Core Package","Utility functions for the Automated Affymetrix Array
Analysis set of packages.","c(""Software"", ""Technology"", ""StatisticalMethod"", ""Microarray"", ""Classification"")","c(""Willem Talloen"", ""Tobias Verbeke"", ""Laure Cougnaud"")","Laure Cougnaud <laure.cougnaud@openanalytics.eu>","https://git.bioconductor.org/packages/a4Core","RELEASE_3_15","61a7f3a","2022-04-26","2022-04-26","src/contrib/a4Core_1.44.0.tar.gz","bin/windows/contrib/4.2/a4Core_1.44.0.zip","bin/macosx/contrib/4.2/a4Core_1.44.0.tgz","vignettes/a4Core/inst/doc/a4Core-vignette.html","a4Core package","FALSE","TRUE","FALSE","FALSE","vignettes/a4Core/inst/doc/a4Core-vignette.R","19","c(""Biobase"", ""glmnet"", ""methods"", ""stats"")",NA,"c(""a4"", ""a4Base"", ""a4Classif"", ""nlcv"")",NA,"knitr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","a4Preproc","1.44.0",NA,"c(""ALL"", ""hgu95av2.db"", ""knitr"", ""rmarkdown"")","GPL-3","b5b292010bb2569aa812741f4817a9cf","no","Automated Affymetrix Array Analysis Preprocessing Package","Utility functions to pre-process data for the Automated
Affymetrix Array Analysis set of packages.","c(""Software"", ""Technology"", ""WorkflowStep"", ""Microarray"", ""Preprocessing"")","c(""Willem Talloen"", ""Tobias Verbeke"", ""Laure Cougnaud"")","Laure Cougnaud <laure.cougnaud@openanalytics.eu>","https://git.bioconductor.org/packages/a4Preproc","RELEASE_3_15","2523812","2022-04-26","2022-04-26","src/contrib/a4Preproc_1.44.0.tar.gz","bin/windows/contrib/4.2/a4Preproc_1.44.0.zip","bin/macosx/contrib/4.2/a4Preproc_1.44.0.tgz","vignettes/a4Preproc/inst/doc/a4Preproc-vignette.html","a4Preproc package","FALSE","TRUE","FALSE","FALSE","vignettes/a4Preproc/inst/doc/a4Preproc-vignette.R","6","c(""BiocGenerics"", ""Biobase"")",NA,"c(""a4"", ""a4Base"", ""a4Classif"")","graphite","knitr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","a4Reporting","1.44.0",NA,"c(""knitr"", ""rmarkdown"")","GPL-3","6bd6466049714fce32cc0cc7f9d798b9","no","Automated Affymetrix Array Analysis Reporting Package","Utility functions to facilitate the reporting of the
Automated Affymetrix Array Analysis Reporting set of packages.","c(""Software"", ""Technology"", ""Microarray"")","c(""Tobias Verbeke"", ""Laure Cougnaud"")","Laure Cougnaud <laure.cougnaud@openanalytics.eu>","https://git.bioconductor.org/packages/a4Reporting","RELEASE_3_15","bfe8350","2022-04-26","2022-04-26","src/contrib/a4Reporting_1.44.0.tar.gz","bin/windows/contrib/4.2/a4Reporting_1.44.0.zip","bin/macosx/contrib/4.2/a4Reporting_1.44.0.tgz","vignettes/a4Reporting/inst/doc/a4reporting-vignette.html","a4Reporting package","FALSE","TRUE","FALSE","FALSE","vignettes/a4Reporting/inst/doc/a4reporting-vignette.R","4","c(""methods"", ""xtable"")",NA,"a4",NA,"knitr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ABarray","1.64.0",NA,"c(""limma"", ""LPE"")","GPL","9100b15a2c28291a041b8362428b4a0a","no","Microarray QA and statistical data analysis for Applied
Biosystems Genome Survey Microrarray (AB1700) gene expression
data.","Automated pipline to perform gene expression analysis for
Applied Biosystems Genome Survey Microarray (AB1700) data
format. Functions include data preprocessing, filtering,
control probe analysis, statistical analysis in one single
function. A GUI interface is also provided. The raw data,
processed data, graphics output and statistical results are
organized into folders according to the analysis settings used.","c(""Software"", ""Technology"", ""Microarray"", ""WorkflowStep"", ""OneChannel"", ""Preprocessing"")","Yongming Andrew Sun","Yongming Andrew Sun <sunya@appliedbiosystems.com>","https://git.bioconductor.org/packages/ABarray","RELEASE_3_15","4c608c5","2022-04-26","2022-04-26","src/contrib/ABarray_1.64.0.tar.gz","bin/windows/contrib/4.2/ABarray_1.64.0.zip","bin/macosx/contrib/4.2/ABarray_1.64.0.tgz","c(""vignettes/ABarray/inst/doc/ABarray.pdf"", ""vignettes/ABarray/inst/doc/ABarrayGUI.pdf"")","c(""ABarray gene expression"", ""ABarray gene expression GUI\ninterface"")","FALSE","FALSE","FALSE","FALSE",NA,"16","c(""Biobase"", ""graphics"", ""grDevices"", ""methods"", ""multtest"", ""stats"", ""tcltk"", ""utils"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","abseqR","1.14.0","R (>= 3.5.0)","testthat","GPL-3 | file LICENSE","ec8e962a9aafb93b5f3d44145b782d4b","no","Reporting and data analysis functionalities for Rep-Seq datasets
of antibody libraries","AbSeq is a comprehensive bioinformatic pipeline for the
analysis of sequencing datasets generated from antibody
libraries and abseqR is one of its packages. abseqR empowers
the users of abseqPy (https://github.com/malhamdoosh/abseqPy)
with plotting and reporting capabilities and allows them to
generate interactive HTML reports for the convenience of
viewing and sharing with other researchers. Additionally,
abseqR extends abseqPy to compare multiple repertoire analyses
and perform further downstream analysis on its output.","c(""Software"", ""Technology"", ""WorkflowStep"", ""Sequencing"", ""Visualization"", ""ReportWriting"", ""QualityControl"", ""MultipleComparison"")","c(""JiaHong Fong"", ""Monther Alhamdoosh"")","JiaHong Fong <jiahfong@gmail.com>","https://git.bioconductor.org/packages/abseqR","RELEASE_3_15","0243554","2022-04-26","2022-04-26","src/contrib/abseqR_1.14.0.tar.gz","bin/windows/contrib/4.2/abseqR_1.14.0.zip","bin/macosx/contrib/4.2/abseqR_1.14.0.tgz","vignettes/abseqR/inst/doc/abseqR.pdf","Introduction to abseqR","FALSE","TRUE","FALSE","TRUE","vignettes/abseqR/inst/doc/abseqR.R","111","c(""ggplot2"", ""RColorBrewer"", ""circlize"", ""reshape2"", ""VennDiagram"", ""plyr"", ""flexdashboard"", ""BiocParallel (>= 1.1.25)"", ""png"", ""grid"", ""gridExtra"", ""rmarkdown"", ""knitr"", ""vegan"", ""ggcorrplot"", ""ggdendro"", ""plotly"", ""BiocStyle"", ""stringr"", ""utils"", ""methods"", ""grDevices"", ""stats"", ""tools"", ""graphics"")",NA,NA,NA,"knitr","https://github.com/malhamdoosh/abseqR","pandoc (>= 1.19.2.1)","https://github.com/malhamdoosh/abseqR/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ABSSeq","1.50.0","c(""R (>= 2.10)"", ""methods"")","edgeR","GPL (>= 3)","bee12a5e2276511093895d707361beea","no","ABSSeq: a new RNA-Seq analysis method based on modelling
absolute expression differences","Inferring differential expression genes by absolute counts
difference between two groups, utilizing Negative binomial
distribution and moderating fold-change according to
heterogeneity of dispersion across expression level.","c(""Software"", ""BiologicalQuestion"", ""DifferentialExpression"")","Wentao Yang","Wentao Yang <wyang@zoologie.uni-kiel.de>","https://git.bioconductor.org/packages/ABSSeq","RELEASE_3_15","4f384d0","2022-04-26","2022-04-26","src/contrib/ABSSeq_1.50.0.tar.gz","bin/windows/contrib/4.2/ABSSeq_1.50.0.zip","bin/macosx/contrib/4.2/ABSSeq_1.50.0.tgz","vignettes/ABSSeq/inst/doc/ABSSeq.pdf","ABSSeq","FALSE","TRUE","FALSE","FALSE","vignettes/ABSSeq/inst/doc/ABSSeq.R","9","c(""locfit"", ""limma"")",NA,NA,NA,NA,NA,NA,NA,"metaseqR2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","acde","1.26.0","c(""R(>= 3.3)"", ""boot(>= 1.3)"")","c(""BiocGenerics"", ""RUnit"")","GPL-3","65cd7aad80d9e19773ee2f301732f762","no","Artificial Components Detection of Differentially Expressed
Genes","This package provides a multivariate inferential analysis
method for detecting differentially expressed genes in gene
expression data. It uses artificial components, close to the
data's principal components but with an exact interpretation in
terms of differential genetic expression, to identify
differentially expressed genes while controlling the false
discovery rate (FDR). The methods on this package are described
in the vignette or in the article 'Multivariate Method for
Inferential Identification of Differentially Expressed Genes in
Gene Expression Experiments' by J. P. Acosta, L. Lopez-Kleine
and S. Restrepo (2015, pending publication).","c(""Software"", ""BiologicalQuestion"", ""StatisticalMethod"", ""AssayDomain"", ""Technology"", ""Microarray"", ""DifferentialExpression"", ""TimeCourse"", ""PrincipalComponent"", ""GeneExpression"", ""mRNAMicroarray"")","c(""Juan Pablo Acosta"", ""Liliana Lopez-Kleine"")","Juan Pablo Acosta <jpacostar@unal.edu.co>","https://git.bioconductor.org/packages/acde","RELEASE_3_15","dfef9a4","2022-04-26","2022-04-26","src/contrib/acde_1.26.0.tar.gz","bin/windows/contrib/4.2/acde_1.26.0.zip","bin/macosx/contrib/4.2/acde_1.26.0.tgz","vignettes/acde/inst/doc/acde.pdf","Identification of Differentially Expressed Genes with
Artificial Components","FALSE","TRUE","FALSE","FALSE","vignettes/acde/inst/doc/acde.R","3","c(""stats"", ""graphics"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
